sku,pagepath,dsc_image_url,product_name
YI782AA0T6A8MNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/49/00207/1.jpg,Spring Autumn Fashion Polka Dot Shirts Men New Arrival Long Sleeve Dress Shirts Slim Fit Camisa Casual Male Shirts-blue
FA203AA0XIKP4NAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/56/29396/1.jpg,Plain Formal Long Sleeve Oxford Shirt - Pink
FA203AA1ML1LQNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/98/399582/1.jpg,V-Neck Design Men's Casual Lapel Long Sleeve Polo Shirt Blue
FA203AA0794UYNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/12/183514/1.jpg,2 In 1 Men's Classic Design Long Sleeve Shirt
FA203MW05TMCGNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/09/780064/1.jpg,4 Men's Plain Long Sleeve Shirt Pink/White/Navy/ Sky Blue
FA203MW0IOIP4NAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/31/377064/1.jpg,Classy Cotton Dark Blue Cufflinks Long Sleeve Shirt
FA203MW07HNG6NAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/12/580854/1.jpg,Men Unique 2 IN 1 Long Sleeve Shirts (Multi Color).
FA203MW0AIVJRNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/17/676855/1.jpg,Quality Long Sleeve Designer Men's Shirt - White
FA203AA0WJ9FYNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/54/646414/1.jpg,2 In 1 Men's Classic Design Long Sleeve Shirt
FA203AA07LO16NAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/12/768234/1.jpg,Corporate Men's Design Long Sleeve Shirt
FA203AA0N08N9NAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/38/642373/1.jpg,Men's Plain  Long Sleeve Shirt-Blue
FA203AA1N5WUSNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/99/373204/1.jpg,Mens Dress Shirts Long Sleeve Formal Shirt Dark Blue
FA203AA0G2ZISNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/27/013204/1.jpg,Mens Long Sleeve Dress Shirts Business Formal Shirt DarkBlue
FA203AA19LZ1WNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/76/607924/1.jpg,6 In 1 Men's Classic Design Long Sleeve Shirt
FA203AA0WRX3YNAFAMZ,/mens-dress-shirts/,https://NG.jumia.is/8Li7NPjyv6kPxt_SwFO4Q_UdypA=/fit-in/220x220/filters:fill(white)/product/55/050334/1.jpg,Corporate Men's Design Long Sleeve Shirt
